,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
0,6,814,2379,15,1502,13,676,427,16,572,14,346,1030,8,113,859,29,66,46,0,7,403,173,7,635,356,303,60,536,1,22,25,250,38,74,46,187,107,51,100,5,160,410,157,311,97,437,144,40,5,284,56,15,3,12,152,21,681,1,0.1013647033135,8.01,0.100092464170134,0.760702727693017,1.47574,4.59116,0.75978,0.03906,1.3986
1,2,992,1740,34,1389,6,522,431,6,153,15,331,165,12,40,295,21,139,14,1,6,473,300,7,651,385,385,76,489,5,3,6,307,624,63,28,982,153,96,168,12,183,554,158,261,146,184,205,45,3,264,63,24,5,21,135,26,744,2,0.31220873756563,7.75,0.387736444444445,4.33418533333334,5.264,4.6018,1.05742,0.05797,4.20308
2,2,1646,2215,20,1862,28,319,508,16,258,37,489,135,22,704,107,10,243,56,0,10,462,379,17,364,289,463,116,388,5,2,5,464,88,87,28,197,216,88,95,46,115,766,63,98,156,169,65,10,14,256,60,32,9,34,131,26,344,3,0.100008790693586,8.22,0.0646438915707389,0.542378017081322,2.49844,4.30864,1.01318,0.03131,2.20598
3,0,7254,742,0,1050,0,307,175,0,115,0,340,44,0,244,5,6,623,65,0,0,125,700,0,66,174,117,163,61,0,0,0,347,20,67,660,364,74,125,101,241,140,172,63,99,60,61,79,11,0,288,51,18,0,2,69,10,206,4,0.104475948978024,8.51,0.0918786220218931,0.854838699291693,1.67104,8.90316,0.574,0.01023,1.00898
4,0,3833,854,0,880,6,324,236,0,303,1,258,35,0,533,28,8,1918,53,0,0,109,748,0,93,215,138,184,69,0,0,0,318,19,80,382,203,64,135,86,105,177,146,46,99,115,84,42,7,0,289,40,18,0,2,80,11,215,5,0.0943578671632782,8.46,0.0594755244755247,0.583559851912795,1.53916,10.11892,0.74662,0.00775,1.50276
5,0,3119,869,0,479,0,467,215,0,746,0,293,91,0,52,168,21,131,40,0,0,107,1047,0,137,243,213,232,100,0,0,0,399,18,77,228,210,39,128,62,47,129,214,77,133,58,147,41,17,0,287,156,59,0,16,137,35,317,6,0.0867632279713606,8.44,0.101062106210621,0.437454545454546,1.96042,9.83612,0.69314,0.0,1.03586
6,11529,68,116,534,969,372,51,33,622,44,320,40,56,188,32,32,877,44,783,65,121,26,88,123,76,54,43,7,48,96,575,785,54,3,314,22,51,11,32,8,19,41,25,16,12,50,134,9,717,87,82,32,118,87,185,30,72,41,7,0.563251836920476,7.11,0.938524064171123,11.8097112299465,102.2819,55.45036,0.06048,0.01953,0.10626
7,4808,23,69,1586,237,960,61,15,590,9,1235,27,5,613,15,14,456,25,137,783,415,12,111,415,38,37,28,5,16,328,225,259,28,14,142,15,21,4,19,5,12,21,20,8,4,25,121,9,431,314,56,20,278,325,540,21,189,42,8,0.483849960927325,7.18,0.285257985257984,3.48722358722357,60.0026,32.78912,0.03682,0.0,0.06902
8,2553,94,146,1381,320,1345,73,44,499,46,950,84,10,695,80,4,142,57,117,620,442,37,254,523,49,51,62,15,27,408,120,156,84,7,181,7,42,14,56,12,25,88,52,18,12,53,176,7,241,249,81,20,195,329,618,30,204,35,9,0.520602569782898,7.12,0.24358695652174,2.79072463768117,110.22466,68.88476,0.09506,1.71089,0.18816
9,0,1878,2077,0,1793,0,427,355,0,251,0,273,149,0,298,252,6,191,50,0,0,471,385,0,338,359,596,83,466,0,0,0,401,99,76,172,231,245,127,158,33,129,442,95,270,147,120,87,4,0,275,89,24,0,5,143,12,587,10,0.142980428088942,8.15,0.136189151599444,1.38231988873435,3.50056,5.00444,0.65576,0.08742,0.74788
10,0,1475,1640,0,1338,0,389,349,0,510,0,206,119,0,141,145,10,275,46,0,0,216,648,0,205,223,456,85,214,0,0,0,339,83,57,77,205,113,83,81,62,189,280,83,115,137,200,58,7,0,222,160,116,0,3,147,21,420,11,0.135177147230094,8.14,0.0949108818011257,0.69727861163227,2.5137,4.00204,0.76356,0.0279,1.18622
11,0,1194,530,67,909,109,173,177,95,266,129,291,48,67,247,42,145,127,78,0,71,38,540,48,95,98,92,121,75,48,86,93,440,9,131,54,204,18,158,24,155,153,134,59,52,79,142,27,139,50,148,130,121,32,124,95,56,178,12,0.149090499423709,8.05,0.0781237329605035,0.78939951066061,3.07692,3.72932,0.43554,0.02387,0.7455
